rank,trial_id,trial_name,eval_g2op_end,eval_reward,train_g2op_end,train_reward,iterations,timesteps_total,lr,gamma,lambda,clip_param,entropy_coeff,hidden_dim,num_layers
1,4a3d9cfe,CustomPPO_2748683_4a3d9cfe_2026-01-03_11-20-05,0.0,0.0,0.0,0.0,65,50259.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
2,07ab2275,CustomPPO_2748683_07ab2275_2026-01-03_18-27-05,0.0,0.0,0.0,0.0,72,50355.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
3,a44ba3f1,CustomPPO_2748683_a44ba3f1_2026-01-03_11-18-58,0.0,0.0,0.0,0.0,69,50482.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
4,9d966912,CustomPPO_2748683_9d966912_2026-01-03_14-22-44,0.0,0.0,0.0,0.0,72,50355.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
5,f4591dd3,CustomPPO_2748683_f4591dd3_2026-01-03_17-50-49,0.0,0.0,0.0,0.0,54,51085.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
6,8aa50e07,CustomPPO_2748683_8aa50e07_2026-01-03_22-56-09,0.0,0.0,0.0,0.0,68,50754.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
7,5d19a8d6,CustomPPO_2748683_5d19a8d6_2026-01-03_23-39-05,0.0,0.0,0.0,0.0,55,51101.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
8,1013d9a0,CustomPPO_2748683_1013d9a0_2026-01-03_20-42-03,0.0,0.0,0.0,0.0,79,50630.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
9,42276297,CustomPPO_2748683_42276297_2026-01-03_12-16-33,0.0,0.0,0.0,0.0,85,50056.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
10,678af7e4,CustomPPO_2748683_678af7e4_2026-01-04_00-59-12,0.0,0.0,0.0,0.0,70,51126.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
11,2a91468e,CustomPPO_2748683_2a91468e_2026-01-03_22-12-28,0.0,0.0,0.0,0.0,62,50173.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
12,c60dc76f,CustomPPO_2748683_c60dc76f_2026-01-03_19-12-18,0.0,0.0,0.0,0.0,50,50115.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
13,5a4d2c46,CustomPPO_2748683_5a4d2c46_2026-01-03_16-04-19,0.0,0.0,0.0,0.0,67,50406.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
14,a6891f4f,CustomPPO_2748683_a6891f4f_2026-01-03_20-04-41,0.0,0.0,0.0,0.0,54,50540.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
15,e9951f1f,CustomPPO_2748683_e9951f1f_2026-01-03_15-08-27,0.0,0.0,0.0,0.0,69,50654.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
16,9804ca06,CustomPPO_2748683_9804ca06_2026-01-03_21-23-48,0.0,0.0,0.0,0.0,62,50173.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
17,88210298,CustomPPO_2748683_88210298_2026-01-04_01-42-46,0.0,0.0,0.0,0.0,22,10304.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
18,abdaf1b2,CustomPPO_2748683_abdaf1b2_2026-01-03_17-01-46,0.0,0.0,0.0,0.0,55,51101.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
19,902a968b,CustomPPO_2748683_902a968b_2026-01-03_13-22-25,0.0,0.0,0.0,0.0,62,50173.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
20,0b7be0d9,CustomPPO_2748683_0b7be0d9_2026-01-04_00-23-47,0.0,0.0,0.0,0.0,62,50696.0,0.0001,0.99,0.95,0.3,0.05,N/A,N/A
